,UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers,HPA,HPA_reliability,HPA_loc,Results,Uniprot_NEorER,Uniprot_subcell
11,Q96SK2,TMEM209,1.0,1.0,1.0,1.0,inf,1.0,0.9038618187661478,0.8793833578745339,0.9005772833118943,5.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q96SK2', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Membrane
13,Q8NBV4,PLPP7 C9orf67 PPAPDC3,1.0,0.0,1.0,1.0,4.42,0.0,0.0,0.0,0.0,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8NBV4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Both the N- and C-terminal are exposed to the cytoplasm/nucleoplasm'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus envelope', 'id': 'SL-0178'}}, {'location': {'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}}, {'location': {'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Nucleus envelope, Endoplasmic reticulum membrane, Membrane"
15,Q8N9R8,SCAI C9orf126,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,Supported,Nucleus: Supported;Nuclear membrane: Approved,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8N9R8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Nuclear localization is required for inhibition of MRTFA'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19350017'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19350017'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Membrane, Nucleus, Cytoplasm"
16,Q3LXA3,TKFC DAK,1.0,1.0,0.0,1.0,0.34,0.0,0.0,0.0,0.0,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q3LXA3', 'comments': []}",0.0,
18,Q8N4F4,SLC22A24,1.0,0.0,0.0,1.0,inf,0.0,0.0,0.0,0.0,2.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8N4F4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'molecule': 'Isoform 1', 'subcellularLocations': [{'location': {'value': 'Cell membrane', 'id': 'SL-0039'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31553721'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}, {'commentType': 'SUBCELLULAR LOCATION', 'molecule': 'Isoform 2', 'subcellularLocations': [{'location': {'value': 'Cell membrane', 'id': 'SL-0039'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31553721'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Cell membrane, Cell membrane"
20,Q9UKR5,ERG28 C14orf1 AD-011 HSPC288 x0006,1.0,1.0,0.0,1.0,2.73,0.0,0.0,0.0,0.0,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9UKR5', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",1.0,Endoplasmic reticulum membrane
23,O95476,CTDNEP1 DULLARD,1.0,1.0,1.0,1.0,0.35,0.0,0.0,0.0,0.0,4.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O95476', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'value': 'Nucleus membrane', 'id': 'SL-0182'}, 'topology': {'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}]}]}",0.0,"Endoplasmic reticulum membrane, Nucleus membrane"
24,Q96P16,RPRD1A P15RS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Supported,Nucleus: Supported;Golgi apparatus: Approved,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q96P16', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '22231121'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
26,Q9NQG5,RPRD1B C20orf77 CREPT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,Supported,Nucleoplasm: Supported;Centrosome: Approved;Cytosol: Approved,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NQG5', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '22231121'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '22264791'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
27,Q9H0A0,Nat10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,Validated,Nucleoli: Validated;Midbody: Supported,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9H0A0', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19303003'}], 'value': 'Nucleolar in interphase and redistributes to the perichromosomal layer and to the midbody during telophase'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03211'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '14592445'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19303003'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24786082'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '25653167'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '30165671'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '34516797'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03211'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19303003'}], 'value': 'Midbody', 'id': 'SL-0469'}}]}]}",0.0,"Nucleus, nucleolus, Midbody"
28,O75340,Alg2,1.0,1.0,0.0,0.0,0.0,1.0,0.4323812093143777,0.4942484771956809,0.7102093649213709,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O75340', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17045351'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21122810'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27716508'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27813252'}], 'value': 'Interaction with RBM22 induces relocalization from the cytoplasm to the nucleus (PubMed:17045351). Translocated from the cytoplasm to the nucleus after heat shock cell treatment. Accumulates in cytoplasmic vesicle-like organelles after heat shock treatment, which may represent stress granules (PubMed:21122810). In response to calcium increase, relocates from cytoplasm to COPII vesicle coat (PubMed:27716508). Localizes to endoplasmic reticulum exit site (ERES) (PubMed:27813252)'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16957052'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27813252'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16957052'}], 'value': 'Peripheral membrane protein', 'id': 'SL-9903'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27716508'}], 'value': 'Cytoplasmic vesicle, COPII-coated vesicle membrane', 'id': 'SL-0078'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27716508'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27784779'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17045351'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21122810'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27784779'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19864416'}], 'value': 'Endosome', 'id': 'SL-0101'}}]}]}",1.0,"Endoplasmic reticulum membrane, Cytoplasmic vesicle, COPII-coated vesicle membrane, Cytoplasm, Nucleus, Endosome"
29,Q6P2H8,Tmem53,1.0,0.0,0.0,1.0,2.57,0.0,0.0,0.0,0.0,2.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6P2H8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '33824347'}], 'value': 'Nucleus outer membrane', 'id': 'SL-0183'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}]}]}",1.0,Nucleus outer membrane
30,Q5SY16,Nol9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,Supported,Nucleoli: Supported;Intermediate filaments: Approved,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q5SY16', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Colocalizes with pre-60S rRNP particles'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'Q3TZX8'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21063389'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31288032'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",0.0,"Nucleus, Nucleus, nucleolus"
31,Q9BVI4,Noc4l,1.0,1.0,1.0,0.0,0.0,1.0,0.4142648859503712,0.6455198063955211,0.3630244418664892,4.0,1,Supported,Nucleus: Supported;Nucleoli: Supported,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9BVI4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}], 'value': 'Nucleus membrane', 'id': 'SL-0182'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",1.0,"Nucleus membrane, Nucleus, nucleolus"
32,O75425,Mospd3,1.0,0.0,1.0,1.0,1.21,0.0,0.0,0.0,0.0,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O75425', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Membrane
33,Q9H936,Slc25a22,1.0,0.0,0.0,1.0,5.63,0.0,0.0,0.0,0.0,2.0,1,Validated,Nucleoplasm: Validated;Mitochondria: Validated,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9H936', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'A0A0G2K5L2'}], 'value': 'Mitochondrion inner membrane', 'id': 'SL-0168'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Mitochondrion inner membrane
34,O94905,Erlin2,1.0,1.0,1.0,1.0,4.96,0.0,0.0,0.0,0.0,4.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O94905', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Associated with lipid raft-like domains of the endoplasmic reticulum membrane'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16835267'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17502376'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19240031'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16835267'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17502376'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19240031'}], 'value': 'Single-pass type II membrane protein', 'id': 'SL-9906'}}]}]}",1.0,Endoplasmic reticulum membrane
35,P49756,Rbm25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,Validated,Nuclear speckles: Validated,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'P49756', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Colocalizes predominantly, with SFRS2 and LUC7L3 splicing factors, in nuclear speckles. Cytoplasmic localization is faint'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus speckle', 'id': 'SL-0186'}}, {'location': {'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Nucleus speckle, Cytoplasm"
36,Q6ZMZ3,Syne3,1.0,1.0,1.0,1.0,inf,1.0,0.979371197526764,0.8946666026137249,1.0,5.0,1,Supported,Nuclear membrane: Supported,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6ZMZ3', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21937718'}], 'value': 'Nucleus outer membrane', 'id': 'SL-0183'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21937718'}], 'value': 'Single-pass type IV membrane protein', 'id': 'SL-9908'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21937718'}], 'value': 'Nucleus envelope', 'id': 'SL-0178'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Rough endoplasmic reticulum', 'id': 'SL-0235'}}]}]}",1.0,"Nucleus outer membrane, Nucleus envelope, Rough endoplasmic reticulum"
37,Q9P0S9,Tmem14c,1.0,1.0,1.0,1.0,16.62,1.0,0.4725095779601957,0.5579727967924337,0.6622634977759655,5.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9P0S9', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Mitochondrion membrane', 'id': 'SL-0171'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Mitochondrion membrane
38,Q6ZMJ2,Scara5,1.0,0.0,0.0,1.0,0.1,1.0,0.56555049162287,0.3303847654672944,0.2219797556943279,3.0,0,NO,NO,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6ZMJ2', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03070'}], 'value': 'Cell membrane', 'id': 'SL-0039'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03070'}], 'value': 'Single-pass type II membrane protein', 'id': 'SL-9906'}}]}]}",0.0,Cell membrane
